"latitude","longitude","price","rating"
41.38881,2.16682,"€€",4
41.38507,2.16799,"€€",4.5
41.3882691,2.1616017,"€€",4
41.37892,2.16622,"€€",4.5
41.37939,2.17865,"€",4.5
41.3864168,2.1756464,"€",5
41.37894,2.1659099,"€€",4.5
41.3887248229435,2.17711320519585,"€€",4.5
41.3901520885291,2.16423287487002,"€€",4.5
41.384995,2.1786544,"€€",4.5
41.373944,2.165583,"€€",4.5
41.3979927,2.1611139,"€€",4.5
41.3817612516117,2.17205226071781,"€€",4.5
41.38214,2.17216,"€€",4.5
41.3845252990723,2.18174982070923,"€€",4.5
41.3791533,2.1731082,"€€€",4.5
41.3910964,2.1713864,"€",4
41.3817499,2.18342,"€",4.5
41.385187,2.16547,"€€",4
41.3813,2.18014,"€€",4.5
41.3874707866059,2.1755944069036,"€€",4.5
41.38035,2.17997,"€€",4.5
41.382292,2.1688122,"€€",4.5
41.3845,2.18174,"€€",4.5
41.3900116966631,2.16231576770595,"€",4.5
41.39084,2.16746,"€€",3.5
41.3827679,2.1756123,"€€",4.5
41.3886338,2.1615069,"€€€",4.5
41.38691,2.16112,"€€",4
41.38244,2.17071,"€€",4
41.37911,2.18904,"€€",4.5
41.38642,2.17564,"€€",4
41.3894646,2.160795,"€€",4
41.3906556572737,2.16842315605543,"€€",4
41.3827864313869,2.17292357236147,"€€",4.5
41.37522986681,2.15678139634327,"€€€€",4.5
41.38635837,2.15977143,"€",4.5
41.3870794788779,2.16731499513127,"€",4
41.39,2.1570299,"€€",5
41.381829,2.187319,"€€",4.5
41.37891,2.16379,"€€",4.5
41.3733742626671,2.16531005899969,"€",4.5
41.38208,2.17349,"€€",4
41.38777,2.15319,"€€€€",5
41.38007,2.16901,"€",4.5
41.38623,2.18391,"€€",4.5
41.3972152,2.1649501,"€€",4.5
41.3869006,2.176184,"€€",4.5
41.38249,2.16343,"€€",4
41.3808099,2.17472,"€",4.5
41.381512,2.178918,"€€",4.5
41.3839528,2.1707395,"€",4.5
41.3823013,2.1680701,"€",4
41.379203700452,2.1892143298399,"€€",4.5
41.3825108,2.1760525,"€€",4.5
41.3881456,2.156919,"€€",4
41.381053,2.168217,"€€",4.5
41.3855931829159,2.18186521043344,"€€€€",4.5
41.38047,2.1806199,"€",4.5
41.37645,2.16917,"€",4.5
41.38393,2.18333,"€€",4
41.40449,2.17342,"€€",4.5
41.3843726148636,2.17495785757311,"€€",4
41.38349,2.17081,"€€",4
41.3911,2.15112,"€€",4.5
41.3741299,2.163848,"€",5
41.39725,2.16953,"€€",4.5
41.40792,2.15768,"€",5
41.3812449,2.181175,"€",4
41.3889542962156,2.17719128799985,"€",4.5
41.3973,2.16124,"€€€",4.5
41.39365,2.16216,"€€€€",5
41.38453,2.1787899,"€",4.5
41.3901626635306,2.16439906185283,"€€€",5
41.3901705,2.1705303,"€€",4
41.38978,2.1798099,"€€",4.5
41.37682,2.16287,"€€",4
41.38436,2.17023,"€",4.5
41.3829597116981,2.17072378311796,"€",4
41.39005,2.17308,"€€",4
41.3832467534745,2.17054497184588,"€€",3.5
41.3863823,2.1830398,"€€€",4.5
41.383,2.17714,"€",4.5
41.3855556,2.17908273254091,"€",4.5
41.3858290518243,2.18249875368875,"€€",4
41.38724,2.17569,"€€",4.5
41.3805809,2.16096,"€",4.5
41.37981,2.17628,"€€€",4.5
41.3795897853174,2.17936408459592,"€€",4.5
41.3969643691284,2.17563629150391,"€€€",4.5
41.3975853324001,2.1723213873877,"€€",4
41.3870212889475,2.17515097571379,"€",4
41.3915414985646,2.1525860121151,"€€€",4
41.404877,2.1759259,"€€",5
41.3821501,2.1721078,"€€",4
41.40401,2.15662,"€",4.5
41.3854704592322,2.17880433797427,"€€",5
41.37989,2.17915,"€€",4.5
41.3849885,2.184292,"€€",4.5
41.38637,2.17815,"€€",4
41.3894005,2.1728599,"€€",4.5
41.38322022,2.17445691,"€€",4
41.39961,2.16494,"€€",4
41.386222,2.1616861,"€€€",4.5
41.3892504,2.1794274,"€",4.5
41.39277,2.17789,"€€",4.5
41.37549,2.15661,"€€",4.5
41.3851087839563,2.17934811595111,"€",4.5
41.4028248216321,2.15996887224951,"€",4.5
41.39342,2.15959,"€",4.5
41.3829,2.17856,"€€€",4.5
41.39401,2.16489,"€€€",4.5
41.38953017,2.16540175,"€€",3.5
